Date : 2020-07-15 13:32:11
Directory : c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app
Total : 146 files,  7501 codes, 605 comments, 1141 blanks, all 9247 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| main-sections\dashboard\accessories\search-agent                                                                                                      |          3 |         81 |          0 |         17 |         98 |
| main-sections\dashboard\accessories\tab-dasboard                                                                                                      |          3 |        220 |        215 |         54 |        489 |
| main-sections\main-map-manager                                                                                                                        |          9 |        902 |          0 |         67 |        969 |
| main-sections\main-map-manager\context-menu-map                                                                                                       |          3 |        100 |          0 |         13 |        113 |
| main-sections\main-map-manager\map                                                                                                                    |          3 |        339 |          0 |         25 |        364 |
| main-sections\profile                                                                                                                                 |          9 |        572 |          0 |         50 |        622 |
| main-sections\profile\client-central                                                                                                                  |          3 |        141 |          0 |         13 |        154 |
| main-sections\profile\manage-centrals                                                                                                                 |          3 |        233 |          0 |         23 |        256 |
| mision-bot                                                                                                                                            |         24 |      1,096 |         10 |         94 |      1,200 |
| mision-bot\dashboard-mision-bot                                                                                                                       |          6 |        221 |          4 |         20 |        245 |
| mision-bot\dashboard-mision-bot\activate                                                                                                              |          3 |         65 |          2 |          9 |         76 |
| mision-bot\history-mision-bot                                                                                                                         |          3 |         90 |          0 |         10 |        100 |
| mision-bot\mision-bot-config                                                                                                                          |         12 |        749 |          3 |         56 |        808 |
| mision-bot\mision-bot-config\advisers-list                                                                                                            |          3 |        131 |          1 |         10 |        142 |
| mision-bot\mision-bot-config\config-create                                                                                                            |          3 |        257 |          0 |         18 |        275 |
| mision-bot\mision-bot-config\matrix-list                                                                                                              |          3 |        118 |          0 |         10 |        128 |
| nebular                                                                                                                                               |          1 |         94 |          0 |          2 |         96 |
| services                                                                                                                                              |         10 |      1,746 |        218 |        284 |      2,248 |
| services\guards                                                                                                                                       |          2 |         40 |          0 |          9 |         49 |
| services\interceptor                                                                                                                                  |          2 |         56 |          0 |         18 |         74 |
| services\sw                                                                                                                                           |          1 |         40 |         17 |         10 |         67 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app-routing.module.ts                                                                  | TypeScript |         76 |          5 |          8 |         89 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app.component.html                                                                     | HTML       |          1 |          0 |          5 |          6 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app.component.scss                                                                     | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app.component.ts                                                                       | TypeScript |         50 |          2 |          7 |         59 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app.module.ts                                                                          | TypeScript |        141 |          0 |          2 |        143 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\common.scss                                                                            | SCSS       |         13 |          0 |          2 |         15 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\component-factory\component-factory.component.html                                     | HTML       |         26 |          0 |          4 |         30 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\component-factory\component-factory.component.scss                                     | SCSS       |         39 |         13 |         11 |         63 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\component-factory\component-factory.component.ts                                       | TypeScript |         58 |          2 |         20 |         80 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\config-component\config-component.component.html                    | HTML       |         11 |          0 |          2 |         13 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\config-component\config-component.component.scss                    | SCSS       |         21 |          0 |          3 |         24 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\config-component\config-component.component.ts                      | TypeScript |         54 |          0 |         18 |         72 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\dialog-confirmation\dialog-confirmation.component.html              | HTML       |         13 |          0 |          0 |         13 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\dialog-confirmation\dialog-confirmation.component.scss              | SCSS       |          3 |          0 |          0 |          3 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\dialog-confirmation\dialog-confirmation.component.ts                | TypeScript |         16 |          0 |          7 |         23 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\login\login.component.html                                                             | HTML       |         38 |          0 |         10 |         48 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\login\login.component.scss                                                             | SCSS       |         34 |          1 |          6 |         41 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\login\login.component.ts                                                               | TypeScript |         48 |          0 |          8 |         56 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\header-menu\header-menu.component.html                                       | HTML       |          3 |          0 |          1 |          4 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\header-menu\header-menu.component.scss                                       | SCSS       |          6 |          0 |          1 |          7 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\header-menu\header-menu.component.ts                                         | TypeScript |         51 |         10 |         16 |         77 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\main-menu.component.html                                                     | HTML       |         35 |          5 |         11 |         51 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\main-menu.component.scss                                                     | SCSS       |         98 |         12 |         22 |        132 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\main-menu.component.ts                                                       | TypeScript |         66 |          0 |          6 |         72 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\menu.component.html                                                     | HTML       |         21 |          0 |          1 |         22 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\menu.component.scss                                                     | SCSS       |         15 |          0 |          3 |         18 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\menu.component.ts                                                       | TypeScript |         11 |          0 |          5 |         16 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\dasboard-settings\dasboard-settings.component.html             | HTML       |         12 |          0 |          1 |         13 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\dasboard-settings\dasboard-settings.component.scss             | SCSS       |         10 |          0 |          4 |         14 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\dasboard-settings\dasboard-settings.component.ts               | TypeScript |         15 |          0 |          6 |         21 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\map-manager\map-manager.component.html                         | HTML       |         17 |          0 |          1 |         18 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\map-manager\map-manager.component.scss                         | SCSS       |          7 |          0 |          2 |          9 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\map-manager\map-manager.component.ts                           | TypeScript |         14 |          0 |          4 |         18 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\misionbot-settings\misionbot-settings.component.html           | HTML       |         21 |          0 |          1 |         22 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\misionbot-settings\misionbot-settings.component.scss           | SCSS       |          7 |          0 |          3 |         10 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\misionbot-settings\misionbot-settings.component.ts             | TypeScript |         14 |          0 |          3 |         17 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\vto-overtime\vto-overtime.component.html                       | HTML       |         17 |          0 |          1 |         18 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\vto-overtime\vto-overtime.component.scss                       | SCSS       |          7 |          0 |          2 |          9 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\vto-overtime\vto-overtime.component.ts                         | TypeScript |         11 |          0 |          5 |         16 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\common.scss                                                              | SCSS       |         17 |          0 |          3 |         20 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\agent-list.component.html                          | HTML       |          3 |          0 |          1 |          4 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\agent-list.component.scss                          | SCSS       |         30 |          5 |          4 |         39 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\agent-list.component.ts                            | TypeScript |         24 |          2 |         11 |         37 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\follow-up-popover\follow-up-popover.component.html | HTML       |         18 |          0 |          1 |         19 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\follow-up-popover\follow-up-popover.component.scss | SCSS       |         23 |          0 |          6 |         29 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\follow-up-popover\follow-up-popover.component.ts   | TypeScript |         38 |          1 |         10 |         49 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\icon-table\icon-table.component.scss               | SCSS       |          4 |          0 |          0 |          4 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\icon-table\icon-table.component.ts                 | TypeScript |         42 |          1 |          6 |         49 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-chart\kpi-chart.component.html                            | HTML       |          1 |          0 |          1 |          2 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-chart\kpi-chart.component.scss                            | SCSS       |          5 |          0 |          0 |          5 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-chart\kpi-chart.component.ts                              | TypeScript |         23 |          0 |          9 |         32 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-individual\kpi-individual.component.html                  | HTML       |         12 |          0 |          1 |         13 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-individual\kpi-individual.component.scss                  | SCSS       |          7 |          0 |          2 |          9 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-individual\kpi-individual.component.ts                    | TypeScript |         23 |          0 |          6 |         29 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashboard\map-dashboard.component.html                    | HTML       |         11 |          1 |          0 |         12 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashboard\map-dashboard.component.scss                    | SCSS       |         20 |          0 |          3 |         23 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashboard\map-dashboard.component.ts                      | TypeScript |         48 |          0 |         12 |         60 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashbord2\map-dashbord2.component.html                    | HTML       |         69 |          0 |          1 |         70 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashbord2\map-dashbord2.component.scss                    | SCSS       |        157 |          2 |         17 |        176 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashbord2\map-dashbord2.component.ts                      | TypeScript |        120 |          0 |         15 |        135 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\map-v3.component.html                                  | HTML       |         15 |          8 |          6 |         29 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\map-v3.component.scss                                  | SCSS       |         51 |          6 |          7 |         64 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\map-v3.component.ts                                    | TypeScript |         25 |          1 |          8 |         34 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\position\position.component.html                       | HTML       |          6 |          0 |          1 |          7 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\position\position.component.scss                       | SCSS       |         15 |          2 |          1 |         18 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\position\position.component.ts                         | TypeScript |         40 |          2 |         10 |         52 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\states-map\states-map.component.html                          | HTML       |         26 |          6 |          5 |         37 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\states-map\states-map.component.scss                          | SCSS       |         53 |          5 |         10 |         68 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\states-map\states-map.component.ts                            | TypeScript |         50 |          0 |         18 |         68 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.html                     | HTML       |         11 |          0 |          0 |         11 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.scss                     | SCSS       |         74 |         29 |         11 |        114 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.ts                       | TypeScript |         72 |          2 |         17 |         91 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.html                       | HTML       |          8 |          0 |          0 |          8 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.scss                       | SCSS       |         27 |          0 |          7 |         34 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.ts                         | TypeScript |         15 |          0 |         10 |         25 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\confirm\confirm.component.html           | HTML       |         15 |          0 |          0 |         15 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\confirm\confirm.component.scss           | SCSS       |          3 |          0 |          0 |          3 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\confirm\confirm.component.ts             | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\follow-up.component.html                 | HTML       |          5 |          0 |          0 |          5 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\follow-up.component.scss                 | SCSS       |         23 |          5 |          3 |         31 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\follow-up.component.ts                   | TypeScript |         18 |          0 |         10 |         28 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\right-click\right-click.component.html             | HTML       |         13 |          0 |          2 |         15 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\right-click\right-click.component.scss             | SCSS       |         18 |          4 |         10 |         32 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\right-click\right-click.component.ts               | TypeScript |         47 |          2 |         18 |         67 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\search-agent\search-agent.component.html           | HTML       |         18 |          0 |          0 |         18 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\search-agent\search-agent.component.scss           | SCSS       |         38 |          0 |          9 |         47 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\search-agent\search-agent.component.ts             | TypeScript |         25 |          0 |          8 |         33 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\tab-dasboard\tab-dasboard.component.html           | HTML       |         19 |          0 |          8 |         27 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\tab-dasboard\tab-dasboard.component.scss           | SCSS       |        118 |          6 |         16 |        140 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\tab-dasboard\tab-dasboard.component.ts             | TypeScript |         83 |        209 |         30 |        322 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\dashboard.component.html                                       | HTML       |         19 |          2 |          5 |         26 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\dashboard.component.scss                                       | SCSS       |         51 |          0 |          8 |         59 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\dashboard.component.ts                                         | TypeScript |        277 |         26 |         78 |        381 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\context-menu-map\context-menu-map.component.html        | HTML       |         24 |          0 |          1 |         25 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\context-menu-map\context-menu-map.component.scss        | SCSS       |         21 |          0 |          4 |         25 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\context-menu-map\context-menu-map.component.ts          | TypeScript |         55 |          0 |          8 |         63 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\main-map-manager.component.html                         | HTML       |        163 |          0 |          3 |        166 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\main-map-manager.component.scss                         | SCSS       |        131 |          0 |         12 |        143 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\main-map-manager.component.ts                           | TypeScript |        169 |          0 |         14 |        183 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\map\map.component.html                                  | HTML       |         54 |          0 |          1 |         55 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\map\map.component.scss                                  | SCSS       |        150 |          0 |         14 |        164 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\map\map.component.ts                                    | TypeScript |        135 |          0 |         10 |        145 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\client-central\client-central.component.html                     | HTML       |         13 |          0 |          1 |         14 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\client-central\client-central.component.scss                     | SCSS       |         52 |          0 |          6 |         58 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\client-central\client-central.component.ts                       | TypeScript |         76 |          0 |          6 |         82 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\manage-centrals\manage-centrals.component.html                   | HTML       |        112 |          0 |          1 |        113 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\manage-centrals\manage-centrals.component.scss                   | SCSS       |         39 |          0 |          6 |         45 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\manage-centrals\manage-centrals.component.ts                     | TypeScript |         82 |          0 |         16 |         98 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\profile.component.html                                           | HTML       |         34 |          0 |          1 |         35 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\profile.component.scss                                           | SCSS       |        110 |          0 |          8 |        118 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\profile.component.ts                                             | TypeScript |         54 |          0 |          5 |         59 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\activate\activate.component.html                       | HTML       |         22 |          0 |          2 |         24 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\activate\activate.component.scss                       | SCSS       |         12 |          0 |          2 |         14 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\activate\activate.component.ts                         | TypeScript |         31 |          2 |          5 |         38 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\dashboard-mision-bot.component.html                    | HTML       |         28 |          0 |          1 |         29 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\dashboard-mision-bot.component.scss                    | SCSS       |         12 |          0 |          2 |         14 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\dashboard-mision-bot.component.ts                      | TypeScript |        116 |          2 |          8 |        126 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\history-mision-bot\history-mision-bot.component.html                        | HTML       |         46 |          0 |          1 |         47 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\history-mision-bot\history-mision-bot.component.scss                        | SCSS       |         10 |          0 |          3 |         13 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\history-mision-bot\history-mision-bot.component.ts                          | TypeScript |         34 |          0 |          6 |         40 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\advisers-list\advisers-list.component.html                | HTML       |         19 |          0 |          1 |         20 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\advisers-list\advisers-list.component.scss                | SCSS       |         25 |          1 |          3 |         29 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\advisers-list\advisers-list.component.ts                  | TypeScript |         87 |          0 |          6 |         93 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\config-create\config-create.component.html                | HTML       |        140 |          0 |          1 |        141 |
| c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\config-create\config-create.component.scss                | SCSS       |         48 |          0 |          5 |         53 |
